"","municipios","coords.lon","coords.lat","lon","lat","municipios2"
"124"," Monterrey, Nuevo Leon",-100.31611,  25.68661,-100.34111,25.61161," Monterrey,
Nuevo Leon"
"125"," Morelia, Michoacan De Ocampo",-101.19498,  19.70595,-101.21998,19.63095," Morelia,
Michoacan De Ocampo"
"126"," Moroleon, Guanajuato",-101.19334,  20.12646,-101.21834,20.05146," Moroleon,
Guanajuato"
"127"," Nanchital De Lazaro Cardenas Del Rio, Veracruz De Ignacio De La Llave", -94.40830,  18.07146, -94.43330,17.99646," Nanchital De Lazaro Cardenas Del Rio,
Veracruz De Ignacio De La Llave"
"128"," Naolinco, Veracruz De Ignacio De La Llave", -96.86995,  19.65482, -96.89495,19.57982," Naolinco,
Veracruz De Ignacio De La Llave"
"129"," Naucalpan De Juarez, Mexico", -99.24530,  19.46308, -99.27030,19.38808," Naucalpan De Juarez,
Mexico"
"130"," Naucalpan, Mexico", -99.24530,  19.46308, -99.27030,19.38808," Naucalpan,
Mexico"
"131"," Navojoa, Sonora",-109.44375,  27.07276,-109.46875,26.99776," Navojoa,
Sonora"
"132"," Nezahualcoyotl, Mexico", -98.98966,  19.39949, -99.01466,19.32449," Nezahualcoyotl,
Mexico"
"133"," Nogales, Sonora",-110.93810,  31.30119,-110.96310,31.22619," Nogales,
Sonora"
"134"," Nuevo Laredo, Tamaulipas", -99.54957,  27.47794, -99.57457,27.40294," Nuevo Laredo,
Tamaulipas"
"135"," Oaxaca De Juarez, Oaxaca", -96.72659,  17.07318, -96.75159,16.99818," Oaxaca De Juarez,
Oaxaca"
"136"," Ocosingo, Chiapas", -92.09434,  16.90873, -92.11934,16.83373," Ocosingo,
Chiapas"
"137"," Ocuituco, Morelos", -98.77393,  18.87766, -98.79893,18.80266," Ocuituco,
Morelos"
"138"," Ojocaliente, Zacatecas",-102.25467,  22.57060,-102.27967,22.49560," Ojocaliente,
Zacatecas"
"139"," Orizaba, Veracruz De Ignacio De La Llave", -97.10364,  18.85047, -97.12864,18.77547," Orizaba,
Veracruz De Ignacio De La Llave"
"140"," Othon P. Blanco, Quintana Roo", -88.29611,  18.50025, -88.32111,18.42525," Othon P. Blanco,
Quintana Roo"
"141"," Pabellon De Arteaga, Aguascalientes",-102.27482,  22.14447,-102.29982,22.06947," Pabellon De Arteaga,
Aguascalientes"
"142"," Pachuca De Soto, Hidalgo", -98.75913,  20.10106, -98.78413,20.02606," Pachuca De Soto,
Hidalgo"
"143"," Pahuatlan, Puebla", -98.15016,  20.27693, -98.17516,20.20193," Pahuatlan,
Puebla"
"144"," Patzcuaro, Michoacan De Ocampo",-101.60919,  19.51345,-101.63419,19.43845," Patzcuaro,
Michoacan De Ocampo"
"145"," Penjamo, Guanajuato",-101.72406,  20.43135,-101.74906,20.35635," Penjamo,
Guanajuato"
"146"," Perote, Veracruz De Ignacio De La Llave", -97.24641,  19.55724, -97.27141,19.48224," Perote,
Veracruz De Ignacio De La Llave"
"147"," Piedras Negras, Coahuila De Zaragoza",-100.54086,  28.69162,-100.56586,28.61662," Piedras Negras,
Coahuila De Zaragoza"
"148"," Platon Sanchez, Veracruz De Ignacio De La Llave", -98.37731,  21.27559, -98.40231,21.20059," Platon Sanchez,
Veracruz De Ignacio De La Llave"
"149"," Playas De Rosarito, Baja California",-117.06176,  32.36610,-117.08676,32.29110," Playas De Rosarito,
Baja California"
